"","Genus","Cluster","Importance"
"458","Sutterella",1,0.000109803111134743
"459","Undibacterium",1,0.000108664443098835
"460","Variovorax",1,0.00010866444304532
"461","X__.53",1,0.00117649152416263
"462","Vogesella",1,0.000108664443302447
"463","Gallionella",1,0.000108664443045856
"464","X__.54",1,0.000108664442878282
"465","uncultured.28",1,0.000108664443043322
"466","MM2",1,0.000108664443795416
"467","Methylobacillus",1,0.000108664442895751
"468","Methylophilus",1,0.000108664442966906
"469","Methylotenera",1,0.00117267781883214
"470","Neisseria",1,0.000108664443072434
"471","uncultured.29",1,0.000108664443092362
"472","MND1",1,0.000108664443364512
"473","Methyloversatilis",1,0.000108664443310339
"474","Sulfuritalea",1,0.000108664442929686
"475","uncultured.30",1,0.000108664443052516
"476","X__.55",1,0.000108664442881004
"477","Ferritrophicum",1,0.000108664442960295
"478","X__.56",1,0.00117130521748471
"479","X__.57",1,0.000108664442936874
"480","Aquicella",1,0.000108664442662569
"481","Enterobacter",1,0.00117540796119192
"482","Escherichia.Shigella",1,0.195192294445796
"483","Klebsiella",1,0.032936755504793
"484","Morganella",1,0.000108664442898202
"485","Proteus",1,0.00117346580744603
"486","Salmonella",1,0.000108664443059589
"487","X__.58",1,0.0331138210992911
"488","Methylobacter",1,0.000108664442990688
"489","uncultured.31",1,0.000108664442908942
"490","X__.59",1,0.00010866444288143
"491","X__.60",1,0.000108664443052025
"492","X__.61",1,0.000108664442998315
"493","Haemophilus",1,0.000108664443060424
"494","Muribacter",1,0.000108664443176705
"495","Rodentibacter",1,0.00117313605591467
"496","X__.62",1,0.000108664443006338
"497","Acinetobacter",1,0.00656373694714028
"498","Enhydrobacter",1,0.00223361428843228
"499","Moraxella",1,0.000108664443055626
"500","Pseudomonas",1,0.00442534436876021
"501","Woeseia",1,0.000108664443070458
"502","Vibrio",1,0.00010866444315569
"503","uncultured.32",1,0.000108664443080449
"504","Luteimonas",1,0.00774790035845702
"505","Lysobacter",1,0.000108664443059236
